kappa,k,q,V,m_star,k_minus_m,lhs_value,threshold,assumption_holds
0.2,5,0.7,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.725,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.75,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.7749999999999999,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.7999999999999999,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.825,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.85,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.875,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.8999999999999999,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.9249999999999999,100.0,5.0,0.0,-0.0,-1.0,False
0.2,5,0.95,100.0,5.0,0.0,-0.0,-1.0,False
0.2,6,0.7,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.725,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.75,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.7749999999999999,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.7999999999999999,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.825,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.85,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.875,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.8999999999999999,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.9249999999999999,100.0,6.0,0.0,-0.0,-1.0,False
0.2,6,0.95,100.0,6.0,0.0,-0.0,-1.0,False
0.2,7,0.7,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.725,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.75,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.7749999999999999,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.7999999999999999,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.825,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.85,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.875,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.8999999999999999,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.9249999999999999,100.0,7.0,0.0,-0.0,-1.0,False
0.2,7,0.95,100.0,7.0,0.0,-0.0,-1.0,False
0.2,8,0.7,100.0,8.0,0.0,-0.0,-1.0,False
0.2,8,0.725,100.0,8.0,0.0,-0.0,-1.0,False
0.2,8,0.75,100.0,8.0,0.0,-0.0,-1.0,False
0.2,8,0.7749999999999999,100.0,8.0,0.0,-0.0,-1.0,False
0.2,8,0.7999999999999999,100.0,8.0,0.0,-0.0,-1.0,False
0.2,8,0.825,100.0,8.0,0.0,-0.0,-1.0,False
